Watched,Original Title,IMDb Rating,Runtime (mins),Year,Genres,URL
False,Intouchables,8.5,112,2011,"Comedy, Drama",https://www.imdb.com/title/tt1675434/
False,The Killing,7.9,84,1956,"Crime, Drama, Film-Noir, Thriller",https://www.imdb.com/title/tt0049406/
False,Das Leben der Anderen,8.4,137,2006,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0405094/
False,The Outsiders,7.0,91,1983,"Crime, Drama",https://www.imdb.com/title/tt0086066/
False,The Party,7.4,99,1968,"Comedy, Romance",https://www.imdb.com/title/tt0063415/
False,Flåklypa Grand Prix,8.4,88,1975,"Animation, Comedy, Family, Sport",https://www.imdb.com/title/tt0073000/
False,The Rainmaker,7.2,135,1997,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0119978/
False,La règle du jeu,7.9,110,1939,"Comedy, Drama",https://www.imdb.com/title/tt0031885/
False,Offret,7.9,149,1986,Drama,https://www.imdb.com/title/tt0091670/
False,The Sixth Sense,8.2,107,1999,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0167404/
False,The Sting,8.3,129,1973,"Comedy, Crime, Drama",https://www.imdb.com/title/tt0070735/
False,The Treasure of the Sierra Madre,8.2,126,1948,"Adventure, Drama, Western",https://www.imdb.com/title/tt0040897/
False,Le salaire de la peur,8.1,131,1953,"Adventure, Drama, Thriller",https://www.imdb.com/title/tt0046268/
False,Le salaire de la peur,4.6,104,2024,"Action, Adventure, Drama, Thriller",https://www.imdb.com/title/tt27487473/
False,The Water Diviner,7.0,111,2014,"Drama, History, War",https://www.imdb.com/title/tt3007512/
False,The Wizard of Oz,8.1,102,1939,"Adventure, Family, Fantasy, Musical",https://www.imdb.com/title/tt0032138/
False,There Will Be Blood,8.2,158,2007,Drama,https://www.imdb.com/title/tt0469494/
False,This Means War,6.3,103,2012,"Action, Comedy, Romance",https://www.imdb.com/title/tt1596350/
False,To Kill a Mockingbird,8.3,129,1962,"Crime, Drama",https://www.imdb.com/title/tt0056592/
False,Tôkyô monogatari,8.1,136,1953,Drama,https://www.imdb.com/title/tt0046438/
False,Top Gun,6.9,109,1986,"Action, Drama",https://www.imdb.com/title/tt0092099/
False,Top Gun: Maverick,8.2,130,2022,"Action, Drama",https://www.imdb.com/title/tt1745960/
False,True Romance,7.9,119,1993,"Crime, Drama, Romance, Thriller",https://www.imdb.com/title/tt0108399/
False,Gekijôban Vaioretto Evâgâden,8.3,140,2020,"Animation, Drama, Fantasy, Romance",https://www.imdb.com/title/tt8652818/
False,Cuando acecha la maldad,7.0,99,2023,Horror,https://www.imdb.com/title/tt16300962/
False,Khane-ye doust kodjast?,8.1,83,1987,"Drama, Family",https://www.imdb.com/title/tt0093342/
False,Who's That Knocking at My Door,6.5,90,1967,Drama,https://www.imdb.com/title/tt0063803/
False,Witness for the Prosecution,8.4,116,1957,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0051201/
False,Smultronstället,8.1,91,1957,"Drama, Romance",https://www.imdb.com/title/tt0050986/
False,Zodiac,7.7,157,2007,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0443706/
False,Kimi no na wa.,8.4,106,2016,"Animation, Drama, Fantasy, Romance",https://www.imdb.com/title/tt5311514/
False,You Can't Win 'Em All,5.7,97,1970,"Action, Adventure, Comedy, War",https://www.imdb.com/title/tt0066593/
False,Youth Without Youth,6.1,124,2007,"Drama, Fantasy, Mystery, Romance, Sci-Fi",https://www.imdb.com/title/tt0481797/
True,The Shawshank Redemption,9.3,142,1994,Drama,https://www.imdb.com/title/tt0111161/
True,The Godfather,9.2,175,1972,"Crime, Drama",https://www.imdb.com/title/tt0068646/
True,The Dark Knight,9.0,152,2008,"Action, Crime, Drama, Thriller",https://www.imdb.com/title/tt0468569/
True,The Godfather Part II,9.0,202,1974,"Crime, Drama",https://www.imdb.com/title/tt0071562/
True,12 Angry Men,9.0,96,1957,"Crime, Drama",https://www.imdb.com/title/tt0050083/
True,Schindler's List,9.0,195,1993,"Biography, Drama, History",https://www.imdb.com/title/tt0108052/
True,The Lord of the Rings: The Return of the King,9.0,201,2003,"Action, Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0167260/
True,Pulp Fiction,8.9,154,1994,"Crime, Drama",https://www.imdb.com/title/tt0110912/
True,The Lord of the Rings: The Fellowship of the Ring,8.9,178,2001,"Action, Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0120737/
True,Forrest Gump,8.8,142,1994,"Drama, Romance",https://www.imdb.com/title/tt0109830/
True,Fight Club,8.8,139,1999,Drama,https://www.imdb.com/title/tt0137523/
True,The Lord of the Rings: The Two Towers,8.8,179,2002,"Action, Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0167261/
True,Inception,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1375666/
True,The Matrix,8.7,136,1999,"Action, Sci-Fi",https://www.imdb.com/title/tt0133093/
True,Goodfellas,8.7,145,1990,"Biography, Crime, Drama",https://www.imdb.com/title/tt0099685/
True,One Flew Over the Cuckoo's Nest,8.7,133,1975,Drama,https://www.imdb.com/title/tt0073486/
True,Se7en,8.6,127,1995,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0114369/
True,The Silence of the Lambs,8.6,118,1991,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0102926/
True,Saving Private Ryan,8.6,169,1998,"Drama, War",https://www.imdb.com/title/tt0120815/
True,Cidade de Deus,8.6,130,2002,"Crime, Drama",https://www.imdb.com/title/tt0317248/
True,Interstellar,8.7,169,2014,"Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt0816692/
True,La vita è bella,8.6,116,1997,"Comedy, Drama, Romance, War",https://www.imdb.com/title/tt0118799/
True,Back to the Future,8.5,116,1985,"Adventure, Comedy, Sci-Fi",https://www.imdb.com/title/tt0088763/
True,Sen to Chihiro no kamikakushi,8.6,125,2001,"Animation, Adventure, Family, Fantasy, Mystery",https://www.imdb.com/title/tt0245429/
True,The Pianist,8.5,150,2002,"Biography, Drama, Music, War",https://www.imdb.com/title/tt0253474/
True,Gisaengchung,8.5,132,2019,"Drama, Thriller",https://www.imdb.com/title/tt6751668/
True,Léon,8.5,110,1994,"Action, Crime, Drama, Thriller",https://www.imdb.com/title/tt0110413/
True,The Departed,8.5,151,2006,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0407887/
True,Whiplash,8.5,106,2014,"Drama, Music",https://www.imdb.com/title/tt2582802/
True,The Prestige,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt0482571/
True,Casablanca,8.5,102,1942,"Drama, Romance, War",https://www.imdb.com/title/tt0034583/
True,Memento,8.4,113,2000,"Mystery, Thriller",https://www.imdb.com/title/tt0209144/
True,Django Unchained,8.5,165,2012,"Comedy, Drama, Western",https://www.imdb.com/title/tt1853728/
True,WALL·E,8.4,98,2008,"Animation, Adventure, Family, Sci-Fi",https://www.imdb.com/title/tt0910970/
True,The Shining,8.4,146,1980,"Drama, Horror",https://www.imdb.com/title/tt0081505/
True,The Dark Knight Rises,8.4,164,2012,"Action, Drama, Thriller",https://www.imdb.com/title/tt1345836/
True,Inglourious Basterds,8.4,153,2009,"Adventure, Drama, War",https://www.imdb.com/title/tt0361748/
True,Toy Story,8.3,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0114709/
True,Braveheart,8.3,178,1995,"Biography, Drama, War",https://www.imdb.com/title/tt0112573/
