Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
58,tt0278504,2024-06-16,2024-06-16,,"Uykusuz","Insomnia",https://www.imdb.com/title/tt0278504/,Movie,7.2,118,2002,"Drama, Mystery, Thriller",320503,2002-10-25,"Christopher Nolan",,
59,tt0038650,2024-06-16,2024-06-16,,"Şahane Hayat","It's a Wonderful Life",https://www.imdb.com/title/tt0038650/,Movie,8.6,130,1946,"Drama, Family, Fantasy, Romance",501252,1947-01-07,"Frank Capra",,
60,tt0119396,2024-06-16,2024-06-16,,"Jackie Brown","Jackie Brown",https://www.imdb.com/title/tt0119396/,Movie,7.5,154,1997,"Crime, Drama, Thriller",376927,1998-05-22,"Quentin Tarantino",,
61,tt0055031,2024-06-16,2024-06-16,,"Nürenberg Duruşması","Judgment at Nuremberg",https://www.imdb.com/title/tt0055031/,Movie,8.3,179,1961,"Drama, War",86040,1961-12-19,"Stanley Kramer",,
62,tt0085811,2024-06-16,2024-06-16,,"Krull - Kara Şato","Krull",https://www.imdb.com/title/tt0085811/,Movie,6.1,116,1983,"Action, Adventure, Fantasy, Sci-Fi",36417,1983-07-29,"Peter Yates",,
63,tt0056172,2024-06-16,2024-06-16,,"Lawrence of Arabia","Lawrence of Arabia",https://www.imdb.com/title/tt0056172/,Movie,8.3,218,1962,"Adventure, Biography, Drama, War",315856,2022-04-26,"David Lean",,
64,tt0119586,2024-06-16,2024-06-16,,"Lucie Aubrac","Lucie Aubrac",https://www.imdb.com/title/tt0119586/,Movie,6.6,115,1997,"Biography, Drama, War",1428,1997-09-26,"Claude Berri",,
65,tt0022100,2024-06-16,2024-06-16,,"Bir Şehir Katilini Arıyor","M - Eine Stadt sucht einen Mörder",https://www.imdb.com/title/tt0022100/,Movie,8.3,117,1931,"Crime, Mystery, Thriller",169276,1931-08-31,"Fritz Lang",,
66,tt0978762,2024-06-16,2024-06-16,,"Mary ve Max","Mary and Max.",https://www.imdb.com/title/tt0978762/,Movie,8.1,92,2009,"Animation, Comedy, Drama",187407,2009-04-09,"Adam Elliot",,
67,tt0070379,2024-06-16,2024-06-16,,"Arka Sokaklar","Mean Streets",https://www.imdb.com/title/tt0070379/,Movie,7.2,112,1973,"Crime, Drama, Thriller",120214,1973-10-14,"Martin Scorsese",,
68,tt0353969,2024-06-16,2024-06-16,,"Cinayet Günlüğü","Salinui chueok",https://www.imdb.com/title/tt0353969/,Movie,8.1,131,2003,"Crime, Drama, Mystery, Thriller",218841,2003-05-02,"Bong Joon Ho",,
69,tt0017136,2024-06-16,2024-06-16,,"Metropolis","Metropolis",https://www.imdb.com/title/tt0017136/,Movie,8.3,153,1927,"Drama, Sci-Fi",186327,1927-03-13,"Fritz Lang",,
70,tt0077928,2024-06-16,2024-06-16,,"Geceyarısı ekspresi","Midnight Express",https://www.imdb.com/title/tt0077928/,Movie,7.5,121,1978,"Biography, Crime, Drama, Thriller",88578,2022-12-01,"Alan Parker",,
71,tt0027977,2024-06-16,2024-06-16,,"Asri Zamanlar","Modern Times",https://www.imdb.com/title/tt0027977/,Movie,8.5,87,1936,"Comedy, Drama, Romance",260694,1938-02-05,"Charles Chaplin",,
72,tt0056663,2024-06-16,2024-06-16,,"Hayatını Yaşamak","Vivre sa vie: Film en douze tableaux",https://www.imdb.com/title/tt0056663/,Movie,7.8,80,1962,"Drama",35208,1962-09-20,"Jean-Luc Godard",,
73,tt0110632,2024-06-16,2024-06-16,,"Katil Doğanlar","Natural Born Killers",https://www.imdb.com/title/tt0110632/,Movie,7.2,119,1994,"Action, Crime, Romance",252822,1994-12-23,"Oliver Stone",,
74,tt0076451,2024-06-16,2024-06-16,,"New York New York","New York, New York",https://www.imdb.com/title/tt0076451/,Movie,6.6,155,1977,"Drama, Music, Musical",21982,1982-10,"Martin Scorsese",,
